Unnamed: 0,address,area,sqm,rooms,broker,monthly_fee,price_sold,date_sold,price_pct_change,street_id,street_name,city
0,"Gamla Brogatan 25, 2tr","Vasastan - City/Norrmalm,",114 sqm,"3,5",Fastighetsbyrån Stockholm - Vasastan,6769.0,7600000kr,Såld 13 april 2018,-5,475079,Gamla Brogatan,Stockholms kommun
1,"Gamla Brogatan 25, 2 tr","Vasastan- City/ Norrmalm,",71 sqm,2,Mäklarhuset Stockholm Innerstan,4696.0,5050000kr,Såld 23 juni 2016,4,475079,Gamla Brogatan,Stockholms kommun
2,Gamla Brogatan 25,"Vasastan- City/ Norrmalm,",102 sqm,4,Mäklarhuset Stockholm Innerstan,6519.0,6950000kr,Såld 29 april 2016,1,475079,Gamla Brogatan,Stockholms kommun
3,"Gamla Brogatan 25, 2tr","Vasastan - City/Norrmalm,",107 sqm,4,Fastighetsbyrån Stockholm - Vasastan,6713.0,7150000kr,Såld 26 november 2015,2,475079,Gamla Brogatan,Stockholms kommun
4,"Drottninggatan 114 A, 3 tr","Vasastan - Norrmalm,",90 sqm,3,Bostadsrättsspecialisten,3822.0,8900000kr,Såld 13 augusti 2020,0,475084,Drottninggatan,Stockholms kommun
5,"Drottninggatan 102B, 3 tr ÖG","Vasastan,",56 sqm,2,Svensk Fastighetsförmedling Sthlm Vasastan,2787.0,5650000kr,Såld  5 augusti 2020,9,475084,Drottninggatan,Stockholms kommun
6,Drottninggatan 73A,"Vasastan / city,",36 sqm,1,Nomad Mäkleri,712.0,4000000kr,Såld  4 juli 2020,14,475084,Drottninggatan,Stockholms kommun
7,"Drottninggatan 101, 2tr","Vasastan/Norrmalm/City,",46 sqm,2,Notar,460.0,4375000kr,Såld 27 maj 2020,15,475084,Drottninggatan,Stockholms kommun
8,Drottninggatan 101,"Vasastan,","71,5 sqm",2,Bjurfors Vasastan Kungsholmen,1740.0,5745000kr,Såld 23 april 2020,5,475084,Drottninggatan,Stockholms kommun
9,Drottninggatan 81 B,"Norrmalm,",45 sqm,1,Mäklarhuset Stockholm Innerstan,1362.0,3900000kr,Såld 11 januari 2020,-2,475084,Drottninggatan,Stockholms kommun
10,Drottninggatan 114A,"Vasastan/Norrmalm,",65 sqm,2,Innerstadsspecialisten S AB,2840.0,6100000kr,Såld 11 december 2019,3,475084,Drottninggatan,Stockholms kommun
11,"Drottninggatan 114 A, 2 tr","Vasastan,",66 sqm,2,Historiska Hem,2880.0,6450000kr,Såld 27 november 2019,8,475084,Drottninggatan,Stockholms kommun
12,Drottninggatan 73A,"Vasastan/ Norrmalm,",93 sqm,3,Alicia Edelman Fastighetsmäkleri,1517.0,9500000kr,Såld 22 november 2019,0,475084,Drottninggatan,Stockholms kommun
13,Drottninggatan 73A,"Norrmalm,",92 sqm,3,Skeppsholmen Sotheby's International Realty,1567.0,9500000kr,Såld 17 november 2019,-5,475084,Drottninggatan,Stockholms kommun
14,Drottninggatan 102A,"Vasastan - Norrmalm,",154 sqm,6,Bjurfors Vasastan Kungsholmen,4765.0,15400000kr,Såld 13 november 2019,-7,475084,Drottninggatan,Stockholms kommun
15,Drottninggatan 101,"Vasastan,",115 sqm,4,Alexander White,2223.0,10500000kr,Såld 12 november 2019,11,475084,Drottninggatan,Stockholms kommun
16,Drottninggatan 73A,"Norrmalm,",57 sqm,2,Alexander White,1014.0,5725000kr,Såld  8 november 2019,8,475084,Drottninggatan,Stockholms kommun
17,Drottninggatan 101,"Vasastan/Norrmalm,","46,5 sqm",2,Erik Olsson Fastighetsförmedling,1257.0,4150000kr,Såld 27 september 2019,19,475084,Drottninggatan,Stockholms kommun
18,"Drottninggatan 81B, 1tr","City / Norrmalm,",49 sqm,"1,5",BOSTHLM Fastighetsmäklare AB,1483.0,4600000kr,Såld 20 september 2019,0,475084,Drottninggatan,Stockholms kommun
19,Drottninggatan 101,"City,","71,5 sqm",2,Erik Olsson Fastighetsförmedling,1400.0,6480000kr,Såld 18 september 2019,8,475084,Drottninggatan,Stockholms kommun
20,"Drottninggatan 80, 3tr","Vasastan,",99 sqm,4,Innerstadsspecialisten S AB,3630.0,8600000kr,Såld 30 augusti 2019,8,475084,Drottninggatan,Stockholms kommun
21,Drottninggatan 81B,"Vasastan,",33 sqm,1,Edward & Partners Fastighetsmäklare AB,998.0,4000000kr,Såld 26 juli 2019,14,475084,Drottninggatan,Stockholms kommun
22,"Drottninggatan 73A, 4 tr.",,36 sqm,1,Svensk Fastighetsförmedling Sthlm Vasastan,712.0,3650000kr,Såld 19 juni 2019,14,475084,Drottninggatan,Stockholms kommun
23,"Drottninggatan 73A, 3 tr","Norrmalm,",35 sqm,1,Mäklarhuset Stockholm Innerstan,697.0,3630000kr,Såld 30 april 2019,32,475084,Drottninggatan,Stockholms kommun
24,"Drottninggatan 80, 3 tr","City / Norrmalm,",114 sqm,3,Vision Mäkleri AB,4138.0,9600000kr,Såld  9 april 2019,20,475084,Drottninggatan,Stockholms kommun
25,Drottninggatan 88 F  /  Holländargatan 9 A,"City/Norrmalm - Vasastan,",70 sqm,"3,5",WestEast,3928.0,7425000kr,Såld 21 mars 2019,10,475084,Drottninggatan,Stockholms kommun
26,"Drottninggatan 90B, 3tr","Vasastan - City/Norrmalm,",70 sqm,2,Fastighetsbyrån Stockholm - Vasastan,719.0,6230000kr,Såld 23 februari 2019,5,475084,Drottninggatan,Stockholms kommun
27,"Drottninggatan 112C, 3tr.","Vasastan - City/Norrmalm,",36 sqm,1,Fastighetsbyrån Stockholm - Vasastan,1407.0,3725000kr,Såld 30 januari 2019,17,475084,Drottninggatan,Stockholms kommun
28,Drottninggatan 110B,"Vasastan,",67 sqm,2,Edward & Partners Fastighetsmäklare AB,1804.0,6025000kr,Såld 20 december 2018,4,475084,Drottninggatan,Stockholms kommun
29,Drottninggatan 102B,"Norrmalm City,",83 sqm,3,Le Grand Propriété,3588.0,6985000kr,Såld 22 november 2018,-7,475084,Drottninggatan,Stockholms kommun
30,Drottninggatan 102 C,"City/Norrmalm/Vasastan,",119 sqm,3,Mäklarhuset Stockholm Innerstan,5921.0,6700000kr,Såld 22 oktober 2018,-1,475084,Drottninggatan,Stockholms kommun
31,Drottninggatan 102A,"Norrmalm/City,",124 sqm,3,Edward & Partners Fastighetsmäklare AB,4352.0,13500000kr,Såld 10 oktober 2018,4,475084,Drottninggatan,Stockholms kommun
32,Drottninggatan 110 B,"Norrmalm/City/Vasastan,",91 sqm,"3,5",Edward & Partners Fastighetsmäklare AB,2481.0,8600000kr,Såld 22 september 2018,8,475084,Drottninggatan,Stockholms kommun
33,"Drottninggatan 90 B, 2 tr","City Norrmalm Vasastan,",70 sqm,2,HusmanHagberg Vasastan,692.0,5600000kr,Såld 28 augusti 2018,2,475084,Drottninggatan,Stockholms kommun
34,Drottninggatan 73 A,"Norrmalm,",29 sqm,1,Bjurfors Östermalm/Lidingö,611.0,3205000kr,Såld  3 maj 2018,9,475084,Drottninggatan,Stockholms kommun
35,"Drottninggatan 73C, 2tr","Vasastan - Norrmalm,",101 sqm,3,Svenskt Mäklarcentrum AB,673.0,9450000kr,Såld 22 mars 2018,0,475084,Drottninggatan,Stockholms kommun
36,"Drottninggatan 102, 2 tr ö.g","City/Norrmalm/Vasastan,",52 sqm,2,Mäklarhuset Stockholm Innerstan,2438.0,4930000kr,Såld  8 februari 2018,10,475084,Drottninggatan,Stockholms kommun
37,"Drottninggatan 81 B, 2 tr","Vasastan,",42 sqm,2,Erik Olsson Fastighetsförmedling,1249.0,4000000kr,Såld 29 januari 2018,0,475084,Drottninggatan,Stockholms kommun
38,"Drottninggatan 90 B, 3 tr","Vasastan / Norrmalm,",70 sqm,3,Wendell Mäkleri & Styling,692.0,6100000kr,Såld 30 december 2017,14,475084,Drottninggatan,Stockholms kommun
39,"Drottninggatan 73A, 2tr","Vasastan - Norrmalm,",92 sqm,"3,5",Svenskt Mäklarcentrum AB,1517.0,8800000kr,Såld  6 september 2017,7,475084,Drottninggatan,Stockholms kommun
40,"Drottninggatan 73A, 4 tr",,92 sqm,3,Individa fastighetsmäkleri AB,1567.0,8950000kr,Såld 16 juni 2017,12,475084,Drottninggatan,Stockholms kommun
41,Drottninggatan 81B,"City - Vasastan,",50 sqm,2,Oscars Fastighetsmäkleri KB,1542.0,5725000kr,Såld  8 maj 2017,35,475084,Drottninggatan,Stockholms kommun
42,"Drottninggatan 112C, 2tr","Norrmalm/Vasastan,",65 sqm,2,Edward & Partners Fastighetsmäklare AB,2302.0,6600000kr,Såld 29 april 2017,0,475084,Drottninggatan,Stockholms kommun
43,"Drottninggatan 114A, 5tr","Vasastan,",52 sqm,2,Fastighetsbyrån Stockholm - Vasastan,2406.0,5950000kr,Såld 30 mars 2017,24,475084,Drottninggatan,Stockholms kommun
44,Drottninggatan 73A,"Vasastan,",29 sqm,1,Brokr Fastighetsmäklare,611.0,3280000kr,Såld 21 mars 2017,19,475084,Drottninggatan,Stockholms kommun
45,Drottninggatan 90 B,"Vasastan/Norrmalm,",41 sqm,2,Vasastansmäklarna,440.0,5205000kr,Såld 18 november 2016,49,475084,Drottninggatan,Stockholms kommun
46,"Drottninggatan 102 B, gårdshus","Vasastan- City/ Norrmalm,",60 sqm,"2,5",Mäklarhuset Stockholm Innerstan,2714.0,5700000kr,Såld 28 oktober 2016,14,475084,Drottninggatan,Stockholms kommun
47,"Drottninggatan 81B, 3tr","City / Norrmalm / Vasastan,",55 sqm,2,SkandiaMäklarna Stockholm Vasastan,1757.0,5640000kr,Såld 13 september 2016,34,475084,Drottninggatan,Stockholms kommun
48,Drottninggatan 73A,"Vasastan/Norrmalm,",66 sqm,2,Erik Olsson Fastighetsförmedling,1143.0,7080000kr,Såld 23 augusti 2016,35,475084,Drottninggatan,Stockholms kommun
49,"Drottninggatan 102, 3 tr","Norrmalm/Vasastan,",52 sqm,2,Bostadsrättsspecialisten,2217.0,4875000kr,Såld 12 augusti 2016,5,475084,Drottninggatan,Stockholms kommun
