Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%)
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,480.0,163.07,700.0,36.0
Albania,EASTERN EUROPE,3581655,28748,1246.0,21.52,4500.0,86.5
Algeria,NORTHERN AFRICA,32930091,2381740,138.0,0.31,6000.0,70.0
American Samoa,OCEANIA,57794,199,2904.0,9.27,8000.0,97.0
Andorra,WESTERN EUROPE,71201,468,1521.0,4.05,19000.0,100.0
Angola,SUB-SAHARAN AFRICA,12127071,1246700,97.0,191.19,1900.0,42.0
Anguilla,LATIN AMER. & CARIB,13477,102,1321.0,21.03,8600.0,95.0
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,1560.0,19.46,11000.0,89.0
Argentina,LATIN AMER. & CARIB,39921833,2766890,144.0,15.18,11200.0,97.1
Armenia,C.W. OF IND. STATES,2976372,29800,999.0,23.28,3500.0,98.6
Aruba,LATIN AMER. & CARIB,71891,193,3725.0,5.89,28000.0,97.0
Australia,OCEANIA,20264082,7686850,26.0,4.69,29000.0,100.0
Austria,WESTERN EUROPE,8192880,83870,977.0,4.66,30000.0,98.0
Azerbaijan,C.W. OF IND. STATES,7961619,86600,919.0,81.74,3400.0,97.0
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,218.0,25.21,16700.0,95.6
Bahrain,NEAR EAST,698585,665,10505.0,17.27,16900.0,89.1
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,10234.0,6.26,1900.0,43.1
Barbados,LATIN AMER. & CARIB,279912,431,6495.0,1.25,15700.0,97.4
Belarus,C.W. OF IND. STATES,10293011,207600,496.0,13.37,6100.0,99.6
Belgium,WESTERN EUROPE,10379067,30528,3400.0,4.68,29100.0,98.0
Belize,LATIN AMER. & CARIB,287730,22966,125.0,25.69,4900.0,94.1
Benin,SUB-SAHARAN AFRICA,7862944,112620,698.0,0.85,1100.0,40.9
Bermuda,NORTHERN AMERICA,65773,53,12410.0,8.53,36000.0,98.0
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,485.0,100.44,1300.0,42.2
Bolivia,LATIN AMER. & CARIB,8989046,1098580,82.0,53.11,2400.0,87.2
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,880.0,21.05,6100.0,
Botswana,SUB-SAHARAN AFRICA,1639833,600370,27.0,54.58,9000.0,79.8
Brazil,LATIN AMER. & CARIB,188078227,8511965,221.0,29.61,7600.0,86.4
British Virgin Is.,LATIN AMER. & CARIB,23098,153,1510.0,18.05,16000.0,97.8
Brunei,ASIA (EX. NEAR EAST),379444,5770,658.0,12.61,18600.0,93.9
Bulgaria,EASTERN EUROPE,7385367,110910,666.0,20.55,7600.0,98.6
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,507.0,97.57,1100.0,26.6
Burma,ASIA (EX. NEAR EAST),47382633,678500,698.0,67.24,1800.0,85.3
Burundi,SUB-SAHARAN AFRICA,8090068,27830,2907.0,69.29,600.0,51.6
Cambodia,ASIA (EX. NEAR EAST),13881427,181040,767.0,71.48,1900.0,69.4
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,365.0,68.26,1800.0,79.0
Canada,NORTHERN AMERICA,33098932,9984670,33.0,4.75,29800.0,97.0
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,1044.0,47.77,1400.0,76.6
Cayman Islands,LATIN AMER. & CARIB,45436,262,1734.0,8.19,35000.0,98.0
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,69.0,0.91,1100.0,51.0
Chad,SUB-SAHARAN AFRICA,9944201,1284000,77.0,93.82,1200.0,47.5
Chile,LATIN AMER. & CARIB,16134219,756950,213.0,0.88,9900.0,96.2
China,ASIA (EX. NEAR EAST),1313973713,9596960,1369.0,24.18,5000.0,90.9
Colombia,LATIN AMER. & CARIB,43593035,1138910,383.0,20.97,6300.0,92.5
Comoros,SUB-SAHARAN AFRICA,690948,2170,3184.0,74.93,700.0,56.5
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,2345410,267.0,94.69,700.0,65.5
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,108.0,93.86,700.0,83.8
Cook Islands,OCEANIA,21388,240,891.0,,5000.0,95.0
Costa Rica,LATIN AMER. & CARIB,4075261,51100,798.0,9.95,9100.0,96.0
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,548.0,90.83,1400.0,50.9
Croatia,EASTERN EUROPE,4494749,56542,795.0,6.84,10600.0,98.5
Cuba,LATIN AMER. & CARIB,11382820,110860,1027.0,6.33,2900.0,97.0
Cyprus,NEAR EAST,784301,9250,848.0,7.18,19200.0,97.6
Czech Republic,EASTERN EUROPE,10235455,78866,1298.0,3.93,15700.0,99.9
Denmark,WESTERN EUROPE,5450661,43094,1265.0,4.56,31100.0,100.0
Djibouti,SUB-SAHARAN AFRICA,486530,23000,212.0,104.13,1300.0,67.9
Dominica,LATIN AMER. & CARIB,68910,754,914.0,14.15,5400.0,94.0
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,1885.0,32.38,6000.0,84.7
East Timor,ASIA (EX. NEAR EAST),1062777,15007,708.0,47.41,500.0,58.6
Ecuador,LATIN AMER. & CARIB,13547510,283560,478.0,23.66,3300.0,92.5
Egypt,NORTHERN AFRICA,78887007,1001450,788.0,32.59,4000.0,57.7
El Salvador,LATIN AMER. & CARIB,6822378,21040,3243.0,2.51,4800.0,80.2
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,193.0,85.13,2700.0,85.7
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,395.0,74.87,700.0,58.6
Estonia,BALTICS,1324333,45226,293.0,7.87,12300.0,99.8
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,663.0,95.32,700.0,42.7
Faroe Islands,WESTERN EUROPE,47246,1399,338.0,6.24,22000.0,
Fiji,OCEANIA,905949,18270,496.0,12.62,5800.0,93.7
Finland,WESTERN EUROPE,5231372,338145,155.0,3.57,27400.0,100.0
France,WESTERN EUROPE,60876136,547030,1113.0,4.26,27600.0,99.0
French Guiana,LATIN AMER. & CARIB,199509,91000,22.0,12.07,8300.0,83.0
French Polynesia,OCEANIA,274578,4167,659.0,8.44,17500.0,98.0
Gabon,SUB-SAHARAN AFRICA,1424906,267667,53.0,53.64,5500.0,63.2
"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,1453.0,72.02,1700.0,40.1
Gaza Strip,NEAR EAST,1428757,360,39688.0,22.93,600.0,
Georgia,C.W. OF IND. STATES,4661473,69700,669.0,18.59,2500.0,99.0
Germany,WESTERN EUROPE,82422299,357021,2309.0,4.16,27600.0,99.0
Ghana,SUB-SAHARAN AFRICA,22409572,239460,936.0,51.43,2200.0,74.8
Gibraltar,WESTERN EUROPE,27928,7,39897.0,5.13,17500.0,
Greece,WESTERN EUROPE,10688058,131940,810.0,5.53,20000.0,97.5
Greenland,NORTHERN AMERICA,56361,2166086,0.0,15.82,20000.0,
Grenada,LATIN AMER. & CARIB,89703,344,2608.0,14.62,5000.0,98.0
Guadeloupe,LATIN AMER. & CARIB,452776,1780,2544.0,0.86,8000.0,90.0
Guam,OCEANIA,171019,541,3161.0,6.94,21000.0,99.0
Guatemala,LATIN AMER. & CARIB,12293545,108890,1129.0,35.93,4100.0,70.6
Guernsey,WESTERN EUROPE,65409,78,8386.0,4.71,20000.0,
Guinea,SUB-SAHARAN AFRICA,9690222,245857,394.0,90.37,2100.0,35.9
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,399.0,107.17,800.0,42.4
Guyana,LATIN AMER. & CARIB,767245,214970,36.0,33.26,4000.0,98.8
Haiti,LATIN AMER. & CARIB,8308504,27750,2994.0,73.45,1600.0,52.9
Honduras,LATIN AMER. & CARIB,7326496,112090,654.0,29.32,2600.0,76.2
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,63557.0,2.97,28800.0,93.5
Hungary,EASTERN EUROPE,9981334,93030,1073.0,8.57,13900.0,99.4
Iceland,WESTERN EUROPE,299388,103000,29.0,3.31,30900.0,99.9
India,ASIA (EX. NEAR EAST),1095351995,3287590,3332.0,56.29,2900.0,59.5
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,1279.0,3.56,3200.0,87.9
Iran,ASIA (EX. NEAR EAST),68688433,1648000,417.0,41.58,7000.0,79.4
Iraq,NEAR EAST,26783383,437072,613.0,50.25,1500.0,40.4
Ireland,WESTERN EUROPE,4062235,70280,578.0,5.39,29600.0,98.0
Isle of Man,WESTERN EUROPE,75441,572,1319.0,5.93,21000.0,
Israel,NEAR EAST,6352117,20770,3058.0,7.03,19800.0,95.4
Italy,WESTERN EUROPE,58133509,301230,1930.0,5.94,26700.0,98.6
Jamaica,LATIN AMER. & CARIB,2758124,10991,2509.0,12.36,3900.0,87.9
Japan,ASIA (EX. NEAR EAST),127463611,377835,3374.0,3.26,28200.0,99.0
Jersey,WESTERN EUROPE,91084,116,7852.0,5.24,24800.0,
Jordan,NEAR EAST,5906760,92300,640.0,17.35,4300.0,91.3
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,56.0,29.21,6300.0,98.4
Kenya,SUB-SAHARAN AFRICA,34707817,582650,596.0,61.47,1000.0,85.1
Kiribati,OCEANIA,105432,811,1300.0,48.52,800.0,
"Korea, North",ASIA (EX. NEAR EAST),23113019,120540,1918.0,24.04,1300.0,99.0
"Korea, South",ASIA (EX. NEAR EAST),48846823,98480,4960.0,7.05,17800.0,97.9
Kuwait,NEAR EAST,2418393,17820,1357.0,9.95,19000.0,83.5
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,263.0,35.64,1600.0,97.0
Laos,ASIA (EX. NEAR EAST),6368481,236800,269.0,85.22,1700.0,66.4
Latvia,BALTICS,2274735,64589,352.0,9.55,10200.0,99.8
Lebanon,NEAR EAST,3874050,10400,3725.0,24.52,4800.0,87.4
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,666.0,84.23,3000.0,84.8
Liberia,SUB-SAHARAN AFRICA,3042004,111370,273.0,128.87,1000.0,57.5
Libya,NORTHERN AFRICA,5900754,1759540,34.0,2.46,6400.0,82.6
Liechtenstein,WESTERN EUROPE,33987,160,2124.0,0.47,25000.0,100.0
Lithuania,BALTICS,3585906,65200,550.0,6.89,11400.0,99.6
Luxembourg,WESTERN EUROPE,474413,2586,1835.0,4.81,55100.0,100.0
Macau,ASIA (EX. NEAR EAST),453125,28,161830.0,4.39,19400.0,94.5
Macedonia,EASTERN EUROPE,2050554,25333,809.0,10.09,6700.0,
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,317.0,76.83,800.0,68.9
Malawi,SUB-SAHARAN AFRICA,13013926,118480,1098.0,103.32,600.0,62.7
Malaysia,ASIA (EX. NEAR EAST),24385858,329750,740.0,1.77,9000.0,88.7
Maldives,ASIA (EX. NEAR EAST),359008,300,11967.0,56.52,3900.0,97.2
Mali,SUB-SAHARAN AFRICA,11716829,1240000,95.0,116.79,900.0,46.4
Malta,WESTERN EUROPE,400214,316,12665.0,3.89,17700.0,92.8
Marshall Islands,OCEANIA,60422,11854,51.0,29.45,1600.0,93.7
Martinique,LATIN AMER. & CARIB,436131,1100,3965.0,7.09,14400.0,97.7
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,31.0,70.89,1800.0,41.7
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,6083.0,15.03,11400.0,85.6
Mayotte,SUB-SAHARAN AFRICA,201234,374,5381.0,6.24,2600.0,
Mexico,LATIN AMER. & CARIB,107449525,1972550,545.0,20.91,9000.0,92.2
